subject,relation,object
tumoral cell,are,in cell in particular head downregulated by targeting activity
Immunotherapy,are immunogenic with,PD L1 expression found in up to 60 % of HNSCC
miRNAs,affect number as,evidence by miR -142-3p downregulation in glioblastoma
Department of Radiology,of Department is,China Department of Radiology
Cells,incubated overnight followed,incubation with conjugated antibody
EBUS TBNA procedure,was,performed by same physician for patients
Novel pancreatic cancer cell lines,derived from,engineered mouse models spontaneous pancreatic adenocarcinoma
Québec Canada Cancer Care Ontario,is,Occupational Cancer Research Centre
Department of Pathology,of Department is,Southwest Cancer Center
Pembrolizumab,are,IgG4 antibodies approved as second line therapy for metastatic HNSCC
Daye D Wellen KE Metabolic reprogramming,unraveling,role in tumorigenesis Semin Cell Dev Biol
Department of Medical Oncology,of Department is,Catalan Institute of Oncology
IHC Anti-c-MET rabbit monoclonal antibody,was used as,primary antibody
Department of Respiratory Medicine,of Department is,Department of Thoracic Surgery
TLR7 8 agonist imiquimod,may,may promising applied therapeutic agent
Shiba Ishii Noguchi M stratifin overexpression,is,regulated by tumor associated CpG demethylation in lung adenocarcinoma
Yoon SS Lauren histologic type,is most important factor following,resection of adenocarcinoma Ann Surg
Preoperative modified FOLFIRINOX treatment,followed by,based chemoradiation
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted with engineered Fc region for stabilization
clinical staging system,separates cancer in,8th edition of Joint Committee on Cancer
human MSCs Exos,be rapidly taken up by,PDL cells
supervising surgeon,performed,neurological preparation of patient
Ministry of Education Key Laboratory of Contemporary Anthropology and State Key Laboratory of Genetic Engineering,is,School of Life Sciences
Cancer Genome Atlas Clinical Explorer,is oriented summary of,genomic proteomic data organized by cancer type
clinical trials,reported on,activity of hormonal therapy in cancer
integrated positron emission tomography,is with,computed tomography
Research Neoadjuvant chemoradiotherapy,followed by,transanal total excision assisted for rectal adenocarcinoma
blood TCR repertoire profiling,may facilitate,stratification for immunotherapy
clinical trial,using,MSCs
Immunohistochemistry FFPE slides,were stained for,protein expression of PD L1
Department of Medical Oncology,is,National Cancer Center / National Clinical Research Center for Cancer / Cancer Hospital
Department of Pathology,is,Asan Medical Center
Radiation Oncology,of Department is,Clinical Research Center for Cancer
Clinical studies,have noted association with,improved responses after ICI treatment in single cancer type
Department of Genome Sciences,of Department is,"Department of Medicine , University of Washington , Division of Human Biology"
Department of Molecular Cell Biology,of Department is,Sungkyunkwan University School of Medicine
Several CAR T cell platforms,are under,active clinical trials for multiple myeloma
Pembrolizumab,are,human IgG4 anti-PD-1 antibodies approved as line therapy
Department of Oncology,Department of,Maroc Department of Oncology
Mammalian mitochondria,are depicted,elongated cylindrical particles originated through endosymbiosis
Department of Radiology,is,Nagoya University Graduate School of Medicine
tumoral cell,are,in tumoral cell in particular head downregulated by targeting activity
Texas USA Department of Thoracic Surgery,is,Kyoto University Hospital
combined chemoradiotherapy,advantage over,radiotherapy
Integrative genomic analyses,reveal,relevant long RNAs in cancer Nat Struct Mol Biol
Department of Pathology,is,Medical College of Wisconsin
Primary outcome fitness Cardiopulmonary fitness,will,will determined by cardiopulmonary exercise test gold standard measure
"Institute of Oncology , Badalona",is,Barcelona Spain 4 Thoracic Surgery Department
DCE MRI,has,has determined as useful tool for diagnosis of tumors
early phase oncology trials,focuses on,early phase oncology trials
Her laboratory research,developing,improved strategies for specific clinically relevant molecular subsets of lung cancer
Department of Biotechnology and Pharmaceutical Technology,is,Yuanpei University of Medical Technology
China Department of Oncology,is,Affiliated Hospital of Weifang Medical University
Department of Radiation Oncology,Department of,Department of Radiation Oncology
biomarkers,should ideally incorporate,features of tumor leading to comprehensive assessment of tumor biology
Department of Medical Oncology,of Department is,Chinese Academy of Medical Sciences & Peking Union Medical College
BAE scores,are,biomarkers
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted onto IgG4 immunoglobulin molecule with engineered Fc region
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % to 0.005 % of Ex19_std in DNA concentration assay from 0.25 ng μl
Best immunohistochemical panel,is in,distinguishing adenocarcinoma
BTPS type,is in,keeping with McKusick ’s original description of Turcot syndrome with CMMRD spectrum disease
Medical Services,is,National Cancer Center / National Clinical Research Center for Cancer / Cancer Hospital
Department of Gastrointestinal Oncology,Laboratory of,State Key Laboratory of Oncology
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule with Fc region for stabilization
Cells,were analyzed by,BD Biosciences
Department of Cancer Prevention,Centre of,Research Centre of the Portuguese Oncology Institute
Cancer hospital Province Key Laboratory,Center of,Medical Physics and Technology
intra-arterial chemotherapy,is,for example technically facilitated by implantation via Jet Port Allround catheters
CBCT acquisition Patients,underwent,based CBCT scan
Background Epidermal growth factor receptor,is target for,antibody in management of cancer
Royal Marsden NHS Foundation Trust,Institute of,Institute of Cancer Research
Department of Radiation Oncology,Department of,Radiation Oncology
CA USA Department of Biostatistics,is,City of Hope Medical Center
Li Y Zhou YB Pancreatic stellate cells,increase cancer cells invasion through,hepatocyte growth factor survivin regulated by P53 P21 Exp Cell Res
Pembrolizumab,is,is evaluated as adjuvant therapy in PD L1 NSCLC patients
primary PDAC cell line PC013,was propagated from,PDAC tumor tissue biopsies
Internal Medicine,Institute for,Research Institute for Future Medicine
based synthetic therapy,are,Currently targeted at oncogenes
Initial ENT evaluation,is with,direct laryngoscopy
Radical esophagectomy,has,has widely acknowledged with importance for esophageal squamous cell carcinoma
specific biological mechanism,is in,tumorigenesis of NSCLC
Western blot analysis,is in,six cell lines
Clinical research grant,is in,First Affiliated Hospital of Nanjing Medical University
operable patients,is in,Japan Clinical Oncology Group 0403 trial
Background Pancreatic resection,are,powerful tools in multidisciplinary treatment of adenocarcinoma
Precise genome editing,also holds,great promise for correcting disease genes
State Key Laboratory of Genetic Engineering and Ministry of Education Key Laboratory of Contemporary Anthropology,Institute of,USA Fudan - Taizhou Institute of Health Sciences
LSCC cell line Hep2,were available in,our own lab
EBUS TBNA procedure,was,performed by experienced physician for patients
USA Biological Testing Branch,is,Developmental Therapeutics Program
Pembrolizumab,are,IgG4 monoclonal antibodies approved as line therapy for HNSCC by US FDA
diagnostic biomarkers,are,with fast development of biopsy of cancer diagnosis urgently needed for scale studies
Pembrolizumab,was,approved by FDA for treatment of patients with IPI treated advanced melanoma
pharmacological study,evaluate,effects of CDKi roscovitine on multiple myeloma cells
Fig. Computer tomography image,obtained from,patient with adenocarcinoma located
Taiwan Division of Trauma,is,Department of Surgery
Genetic based lethal therapy,are,Currently targeted at activated oncogenes
Department of Medical Oncology,Department of,Australia Department of Radiation Oncology
based chemotherapy,was available therapy for,advanced NSCLC
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto human IgG4 immunoglobulin molecule with Fc region
Department of Medical Oncology,Hospital of,Harbin Medical University
Stem Cell Transplantation Research Center,Department of,"Department of Virology , School of Public Health"
transplantable murine colon cancer induced ICD,also augmented,T cell mitochondrial function
Personalized RNA mutanome vaccines,mobilize,poly specific therapeutic immunity against cancer
Molecular Pharmacology Group,is,"Leidos Biomedical Research , Inc."
T cells,indicating,importance of B cell CD8
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with Fc region
Department of Surgery,is,National Hospital Organization Higashihiroshima Medical Center
Cells,were washed twice on,LSRII flow cytometer
Several tumor antigens,represent,biological markers
HRM MAF titration,was,conducted by MAF in DNA sample
Co-immunoprecipitation assay Protein G magnetic beads,capture,primary antibodies for IGFBP2
Ajou Research Institute for Innovative Medicine,is,Ajou University Medical Center
Stem Cells,for Laboratory is,China7 Guangzhou Research Institute of Traumatic Surgery
driven biomarkers,guide,immune checkpoint blockade in cancer therapy Rev Cancer
T cells,expressing,LMP1 specific chimeric antigen receptor
MBNL3 splicing factor,promotes carcinoma by,increasing PXN expression through splicing of lncRNA PXN AS1 Cell Biol 2017 19 7
Department of Public Health and Institute of Public Health,is,Chung Shan Medical University
biomarkers,guide,ICB treatments
Cell nuclei,were counterstained by,Western blot analysis
Cell proliferation assay,were,For Cell Kit 8 plated at density
Aurora kinase inhibition therapy,preferentially target,KRASG12V transformed cells
MRI,was presented superiority,indicated for stage diseases
Cetuximab,is,targeted biological agent approved for use in HNSCC
Paclitaxel ovarian cancer,induced,transplantable murine breast cancer TAM
radiotherapy,are,main treatment options for patients combined with superior vena cava syndrome
Medical writing,was,provided by Abacus International by Otsuka Pharmaceuticals Europe Ltd.
biomarkers,predict pCR after,SABR treatment with study
Department of Diagnostic Radiology,is,Kaohsiung Chang Gung Memorial Hospital and Chang Gung University College of Medicine
Biomedicine,of Department is,Institute of Bioinformatics
Department of Biomedical Informatics,School of,Vanderbilt University School of Medicine
intra-arterial chemotherapy,is,for example facilitated by implantation via implantable Jet Port Allround catheters
Oncology,of Laboratory is,Guangdong Esophageal Cancer Institute
Cell viabilities,were assessed by,MTS assay
diagnostic biomarkers,are,In addition with development of liquid biopsy of cancer diagnosis urgently needed for scale prospective studies
clinical trials,reported,clinical response of patients with sensitive mutations
Primary Sjögren ’s syndrome,is,in Sjögren ’s syndrome chronic autoimmune disorder characterized by focal lymphocytic infiltration
MIB proliferation index,was markedly higher with,expression of CXCR4 with positive CXCR4 expression
Institute Affiliated Stomatology Hospital,of standards is,Nanjing University Medical School
CT angiography,rapidly effective alternative to,traditional invasive angiography
Internal Medicine,School of,Sungkyunkwan University School of Medicine
Cancer Research Center,is,Sanford - Burnham Medical Research Institute
Cancer J Clin Oncol,is,Ferris RL Immunology
Department Internal Medicine - Oncology,is,Medical Campus University of Oldenburg
serum CYFRA 21 1 assay,has,In our department has routinely performed after radiation based therapy since 2005
NSCLC cell line,were,obtained from Shanghai Cell Bank at Chinese Academy
targeted vaccines,are in,now clinical studies for preventing lung cancer
effective biomarkers,Therefore should ideally incorporate,features of tumor leading
BMS,have funded,support in form for presentations of data from TERRITOIRE study
Several biomarkers,are,are targeted in CAR T cell trials
Radical esophagectomy,has,has acknowledged with paramount importance in intended therapy for squamous cell carcinoma
School of Medicine,is,Chung Shan Medical University
CT coronary angiography,rapidly alternative to,traditional angiography for screening
Several CAR T cell products,are under,active trials for RR multiple myeloma
Simultaneous chemotherapy,was,administered with cetuximab as used agent
Biological Testing Branch,Laboratory for,Frederick National Laboratory for Cancer Research
VU 147T cells,were,cultured in DMEM F12 with 10 % fetal serum
Strizzi L Bianco C Normanno N mesenchymal transition,is,characteristic of hyperplasias in mammary gland from MMTV Cripto 1 transgenic mice
Table 1 Breast cancer associated lncRNAs,is in,top 10 ranking list of Lap BiRWLDA
HRM MAF titration,was,conducted by MAF in DNA sample in total DNA concentration assay from 0.25 ng μl
Gao G Ren S Li Xu J Xu Q Su C growth factor receptor tyrosine kinase inhibitor therapy,is effective as,line treatment with mutated EGFR
c Tumorsphere formation assay,showed,effects of JARID1B knockdown in derived tumorspheres
DACH1 IHC staining results,were evaluated by,three pathologists
employing single biomarkers,capture,only tumor biological features linked with CTC enrichment
Human recombinant epidermal growth factor,was purchased from,BioSource
Institute for Medical Virology,is,University Hospital Tuebingen
new BMP,shown,most potent BMP
targeted oncogene inactivation,be exploited as,immune therapy
Aurora kinase inhibitors,were highly effective against,SCLC cell lines
clinical significance,is dissipating with,development of biomarkers
CT angiography,effective alternative to,traditional invasive angiography
Department of Pathology,is,Hacettepe University School of Medicine
human umbilical endothelial tubular formation,was inhibited by,anlotinib supernatant
Department of Pathology,College of,"Department of Internal Medicine , College of Medicine"
clinical characteristics,were,obtained from medical records
biofilm,constitutes,main etiological factor for diseases
Department of Life Science,is,Graduate Institute of Biomedical Electronics and Bioinformatics
Liang H Liu X Wang M Immunotherapy,combined with,epidermal growth factor receptor tyrosine kinase inhibitors
miRNAs,are,As class of ncRNAs regarded as tool
Cell viabilities,were assessed by,MTS assay
Department of Pathology,is,University Medical Center Utrecht Cancer Center
"Department of Pediatrics , Division of Pediatric Oncology / Hematology",of Department is,University Medical Center Groningen
Peripheral blood TCR repertoire profiling,may facilitate,patient stratification against melanoma Cancer Immunol Res
molecular targeted therapy,is in,Oncologist
model imaging BALB c athymic mice,were provided by,Comparative Medical Center of Yang Zhou University
Hepatology Research Center,is,Mashhad University of Medical Sciences
clinical data,were collected retrospectively as,data from EMRs
Background Chemotherapeutic drugs,used for,cancer therapy
Department of Interventional Radiology,of Department is,Department of Imaging
Robotic surgery,offers advantages over,VATS with accuracy especially in bronchial plastic surgery
Institute of Neuropathology,is,University of Bonn Medical School
circulating biomarkers,level of be,In practical clinical application would influence of individual classifications including age
Department Key Laboratory,Department of,China6 Department of Cardiothoracic Surgery of East Division
Germany Department of Diagnostic Radiology and Neuroradiology,is,University Medicine Greifswald
Novel pancreatic cancer cell lines,derived from,genetically engineered mouse models spontaneous adenocarcinoma
Background Cisplatin,are,important drugs
College of American Pathologists,is,International Association for the Study of Lung Cancer
Cui G Li C Xu G Sun Z Zhu L Li Z Zheng W Li J Yuan A fibroblasts,contribute to,"expression of factor indoleamine 2,3 dioxygenase in human cancers"
Department of Medical Research,of Department is,"Department of Public Health , School of Public Health"
Pancreatic stellate cells,increase invasion through,cell derived CXCR4 axis Pancreatology
YCD TK Cx26 gene system,suppresses tumor growth in,mouse xenograft bladder cancer models
Cells,were,incubated with labeled anti-MAGE-A1 antibody in dark
comprehensive cancer center,is in,USA J Exp Clin Cancer Res
MTS assay,check cell with,siRNAs for MALAT1
adjuvant chemo radiotherapy plays,still role in,integrated therapy
Ib study,is with,MEK inhibitor binimetinib
Yoon SS Lauren histologic type,is factor following,resection of adenocarcinoma Ann Surg
Targeted therapies,is in,digestive oncology
Yoest J Clinical,pathophysiology of,immune related events in immune checkpoint inhibitor treatments in cancer
Department of Radiation Oncology,of Department is,The University of Texas MD Anderson Cancer Center
based chemotherapy,was,For decades available systemic therapy for NSCLC
Several clinical trials,reported on,activity of hormonal therapy in pancreatic cancer
exosomic miR -222-3p level,may,may potential prognostic biomarker
MTE treatment,reduced LAMP1 protein expression with,increased MTE concentration
Department of Internal Medicine,is,CHA Bundang Medical Center
Tokarz M ATM kinase inhibition,sensitizes,p53 mutant glioma
National Cancer Institute,Center for,Center for Cancer Research
clinical correlation,are helpful for,diagnosis of gastric IMT
"Department of Pharmacology , School of Pharmacy",is,Guangxi Medical University
Bcl family,mediates,FZKA enhanced effect of Gefitinib induced lung caner cell apoptosis
Yan W Herman based personalized medicine,is in,human cancer Epigenomics
miRNAs,be involved in,development of EGFR mutations in LUAD
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted
Department of Oncology,School of,Medical School of Nanjing University
B cells,is in,total PBMCs
Snail transcription factor,enhances,expression of EMT transcription factor
oncology electronic medical records,is in,United States BMC
Department of Medical Oncology,Department of,Victoria 3084 Australia Department of Medical Oncology
Department of Surgery,of Department is,Department of Gastroenterology
miRNAs,are targets for,cancer therapies
Chungnam National University Hospital,member of,Korea Biobank Network
Neurological events,were reported in,clinical trial
CCR2 cells,introduced,powerful potential of imaging techniques for diagnosis of lung IRI
Constructed eukaryotic expression vectors,were transfected into,HEK 293F cells
Department of Biotechnology,is,Kaohsiung Medical University
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region
Near infrared guided surgery,improves,survival rate in novel orthotopic animal model of head
Infection Medicine,is,Department of Clinical Sciences
Beckman Research Institute,is,City of Hope Medical Center
Tumor Genetics,Institute for,Max Planck Institute for Molecular Genetics
human TCF 1 gene,encodes,nuclear DNA binding protein uniquely expressed in T lineage lymphocytes Blood 1995 86 8 3050 3059 75793 99 20
pre-coated Matrigel cells,were,For Matrigel coated Transwell invasion assay placed in upper chambers
VEGFR targeting antibody ramucirumab,was,approved by Food Administration in United States for advanced junction adenocarcinoma patients with progression on fluoropyrimidine - containing chemotherapy
School of Medicine and Life Sciences and Jiangsu Collaborative Innovation Center of Traditional Chinese Medicine,is,TCM ) Prevention and Treatment of Tumor
"Asan Institute for Life Science , Asan Medical Center",is,Institute for Innovative Cancer Research
specific shRNA,was expressed in,UM SCC 14A cells with endogenous expression
Drug Brand name Manufacturer Targets Applications,Approved,years of clinical trials Erdafitinib Balversa Janssen FGFR1 4 cancer
Biomarker analysis,conducted on,designed phase III trial of chemotherapy
Institute of Cancer Stem Cell,Lab for,"China Ministry of Education Key Lab for Avian Preventive Medicine , College of Veterinary Medicine"
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted onto IgG4 immunoglobulin molecule with engineered Fc region for stabilization
Department of Pathology and Laboratory Medicine,is,Kanazawa Medical University
"Department of Internal Medicine , School of Medicine",is,Iwate Medical University
University Division of Applied Pharmaceutical Education and Research,of Division is,Cancer Institute Hospital
HNSCC cells,analyze,impact of SLPI
Tumor differentiation,may,may categorized with stage tumor
Genetic based therapy,are,directly targeted at activated oncogenes
B cells,of organization is,T cells
Background Human papilloma virus,has,has implicated in development of proportion of oropharyngeal cell carcinoma
Department of Biomedical Informatics,of Department is,Vanderbilt University Medical Center
Masuda M Methotrexate,is excreted by,multispecific organic anion transporter
Background Axitinib,is,active tyrosine kinase inhibitor of vascular growth factor receptors 1 2
Pembrolizumab,is,is studied in combination with pegylated interferon alpha 2b
Clinical studies,have noted with,improved patient responses after ICI treatment
NRG oncology RTOG 0436 phase 3,randomized,clinical trial JAMA Oncol 2017
Cetuximab,is,only biological agent approved for use in HNSCC
CT coronary angiography,rapidly effective alternative to,traditional angiography for screening
hBM MSCsHuman bone marrow,derived,MSCs
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with engineered Fc region for stabilization
Kisfalvi K Guha S Rozengurt E Neurotensin,induce stimulation by,duration of ERK signaling in pancreatic cancer cells J Cell Physiol 2005
AChE binding tail PRiMA,is,down regulated in muscle of mice by merosin deficiency Chem Biol Interact 2013 203 330 334
specific IDO inhibitors,have failed,phase III clinical trials
Background Pancreatic resection,are,tools in treatment of pancreatic adenocarcinoma
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule
endowing cells,is with,properties of cancer stem cell
Department of Medical Oncology,of Department is,Italy Department of Medical Oncology
existing biological knowledge,stored in,biological databases
B cells,are critical to,T cell mediated antitumor immunity induced by immune stimulatory cytotoxic therapy for glioblastoma Neoplasia
T cells,results in,increased expression of PD 1 pathway components
human mucosal tissue protein,was,purchased from BioChain as control
reliable histological diagnosis,analyses of,biopsy samples
Department of Thoracic Oncology,is,National Cancer Center Hospital East
metabolomics,reveal,effect of Saponins of Tribulus terrestris fruit against ischemic stroke
Tumor cells,treated with,cetuximab
chronic autoimmune disorder characterized,is in,primary Sjögren ’s syndrome
pulsatile MEKi treatment,combined with,CTLA 4 blockade survival in tumors
Ongoing early phase oncology trials,focuses solely on,early phase oncology trials at MDACC
MEK double treatment,proved,effective therapeutic strategy in NRAS mutant melanomas
Department of Preventive Medicine and Public Health,School of,Ajou University School of Medicine
T cells,can potentiate,T cells
tumor marker antigens,were,human epididymis protein 4
peri-tumoral response,represents,T cell cytotoxic response in CRC
miRNAs,directly affect number in,case of miR 92a suppression in breast cancer
Department of Biomedical Informatics,School of,Vanderbilt University School of Medicine
Oncology,of Laboratory is,Chongqing Cancer Institute Liu et al. 2016 Open AccessThis article
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse variable region grafted with engineered Fc region
Department of Psychiatry,is,Vanderbilt University School of Medicine
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted with Fc region
computed patient study file,was,registered at National Commission with study approved by Institutional Review Board for Respiratory Medicine
Murine model imaging BALB c mice,were provided by,Comparative Medical Center of Yang Zhou University
three part longitudinal metabolomics study,is in,China Clin Chim Acta
physiologic role,has,has described in hair follicle stem cells
Primary human tracheal cells,were stained marker CD45 for,specific marker CD326 EpCAM
human telomerase reverse Transcriptase,plays,roles J Biol Chem
Bayes tree,was,As result most powerful model for diagnosis of NSCLC
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % to 0.005 % in increasing DNA concentration assay from 0.25 ng
USA Division of Cancer Epidemiology and Genetics,is,National Cancer Institute
Research Neoadjuvant chemoradiotherapy,followed by,mesorectal excision assisted for rectal adenocarcinoma
EditorRobotic sleeve lobectomy,is with,four arms for lung cancer centrally located in right lower lobe
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted onto human IgG4 immunoglobulin molecule with engineered Fc region for stabilization
Department of General Surgery,is,Peking Union Medical College Hospital
clinical variable model,showed performance based,based only clinical variables
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule
Department of Internal Medicine - Section of Hematology and Oncology,School of,Wake Forest School of Medicine
Surgical Pathology Histology Laboratory,is,University of Colorado Anschutz Medical Campus
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted onto IgG4 immunoglobulin molecule with Fc region for stabilization
metabonomics approach,was,In study utilized to profile metabolites from pCR
Primary Sjögren ’s syndrome,is,in Sjögren ’s syndrome chronic autoimmune disorder characterized by lymphocytic infiltration of exocrine glands
Four UM SCC cell lines,test,effect on CAM
aSamsung Genome Institute,is,Samsung Medical Center
treatment BALB c mice,housed in,specific level animal facility
T cells,can inhibit,activity of T cells
Research Neoadjuvant chemoradiotherapy,followed by,total mesorectal excision assisted for rectal adenocarcinoma
miRNAs,Recently have garnered lot as,potential blood biomarker for cancer
Department of Gynecology and Obstetrics,of Department is,Department of Radiology
UM SCC cell lines,test,effect on tumor growth on CAM on metastases to liver
Salivary acinar cells,altered,cell volume regulation J Biol Chem 2001 276 23413 20 11290736 60
pathologist,is with,Calgary Laboratory Services
targeted CCR2 cells,introduced,powerful potential of imaging techniques for diagnosis of lung IRI
Chest tomography scan,revealing,endobronchial shadow associated with atelectasis of lobe
BM,developed,BM developed in 30.3 % of patients with
Colaborative Innovation Center of Cancer Medicine,is,Sun Yat - sen University Cancer Center
Research Neoadjuvant concurrent chemoradiotherapy,followed by,transanal mesorectal excision assisted for adenocarcinoma
Pembrolizumab,are,IgG4 anti-PD-1 monoclonal antibodies approved as line therapy for metastatic HNSCC by US FDA
Clinical Bioinformatics,is,Biomedical Research Institute
Ramnath N Neill H Induction chemotherapy,followed compared,chemoradiotherapy for stage III Non-small-cell lung cancer
Kawase T Yasui Y Nishina S Fibroblast activation expressing fibroblasts,promote,progression of adenocarcinoma BMC Gastroenterol
miRNAs,were abundant in,miRNAs
Department of Pulmonology and Immunology,Hospital of,Hospital of Lithuanian University of Health Sciences
MTE treatment induced apoptosis,is in,NSCLC cells
Cogle CR cell,derived,angiocrine support of acute myeloid leukemia targeted by receptor tyrosine kinase inhibition Leuk Res
Committee on Chinese Medicine and Pharmacy,is at,Department of Health
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived region grafted with engineered Fc region for stabilization
kidney cell line 293T,maintained respectively in,MEM supplemented with 10 % fetal bovine serum
Environmental Medicine,is,Ajou University School of Medicine
medical imaging,are main methods for,clinical diagnosis leading eventually to biopsy
prognostic biomarkers,should incorporate,features of tumor leading to comprehensive assessment of tumor biology
Pembrolizumab,is,IgG4 antibody consisting of affinity mouse region grafted with engineered Fc region
Department of Immunology,is,H. Lee Moffitt Cancer Center and Research Institute
Department of Radiation Oncology,of Department is,German Cancer Research Center
Bioinformatic analysis,reveals,pattern of gene expression specific to breast cancers
Oncology,of Laboratory is,Sun Yat - sen University Cancer Center
expressed miRNAs,may play roles except,functioning as biomarkers
Radical esophagectomy,has,has acknowledged with importance in intended therapy for esophageal cell carcinoma
Mouse anti-Actin monoclonal antibody,was purchased from,Santa Cruz Biotechnology
Department of Medical Oncology,of Department is,West China Medical School
BMI Cancer type TNM stage Tumor location Neoadjuvant therapy,Resected,SII Chemoradiotherapy
PKM1 isoform formation,inducing,PKM2 isoform formation
Department of Urology,of Department is,Institute of Pathology
Roland CL Yang AD Katz MH Chatterjee D Wang H Lin H Vauthey JN Pisters PW Varadhachary GR Wolff RA Neoadjuvant therapy,is associated with,reduced lymph node ratio in patients with pancreatic cancer Ann Surg Oncol
biological knowledge,stored in,biological databases
Institute of Human Genetics,is,University Medical Center Ulm
Department of Oncology,Institute for,"Asan Institute for Life Science , Asan Medical Center"
Ottawa Hospital Cancer Centre,Faculty of,Canada Faculty of Medicine
Biological Sequence Analysis,for Center is,Dana - Farber Cancer Institute
Metabolic Disorders Research Center,is,Golestan University of Medical Sciences
Department of Oncology,of Department is,Juravinski Cancer Centre
Stem Cells,for Laboratory is,China4 Department of Thoracic Surgery
Department of Pathology,of Department is,USA3 Graduate Program in Biomedical Sciences
Parental UM SCC 5 cells,were,treated with cetuximab
Medical Oncology,School of,School of Pharmaceutical Science and Yunnan Key Laboratory
Tianjin Medical University Cancer Institute and Hospital,is,National Clinical Research Center for Cancer
biomarkers,predicting,HCC patients with disease specific survival
IL 24 gene,was,originally discovered by subtraction hybridization method by exposing melanoma cells
Medicine,College of,"Department of Anatomy , College of Medicine"
VEGFR targeting antibody ramucirumab,was,approved by Food Administration in United States for junction adenocarcinoma patients
human TCF gene,encodes,binding protein uniquely expressed in normal T lineage lymphocytes Blood 1995 86 8 3050 3059 75793 99 20
biomarkers,are,In addition with fast development of liquid biopsy of cancer diagnosis urgently needed for scale studies
transplantable colon cancer induced ICD,augmented,T cell mitochondrial function
UM SCC cell lines,test,effect on CAM
Metastatic capability,was assayed by,mouse tail vein metastasis model
Tehran University of Medical Sciences,of University is,Tehran University of Medical Sciences
Urogenital Stem Cell Research Center,is,Shahid Beheshti University of Medical Sciences
radiotherapy,is,Although treatment for NSCLC
University of Texas M.D. Anderson Cancer Center,Department of,USA Department of Histology and Pathology
tumor subtypes,may,In cancers may distinguished by miRNAs
White VA Lewallen S Clinical factors,associated in,patients ocular surface squamous neoplasia Kilimanjaro Christian Medical Centre
School of Stomatology,is,Nanjing Medical University
cytological diagnosis,using,CT guided needle aspiration of tumor
Department of Otolaryngology,is,The Institute of Otolaryngology
Radiation Oncology,of Department is,Department of Medical Research
clinical treatment,should differ due,behaviour of rectal mucinous adenocarcinoma
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived region grafted with Fc region for stabilization
pancreatic cell,is key player in,complex regulation of pancreatic tumor microenvironment
Cancer research,turn molecules into,valid drug candidates for targeted therapies
CAR T cell platforms,are under,active clinical trials for multiple myeloma
Metabolomic analysis,demonstrated,profile in ACM from EAC patients
Dental Disease Research Center,Department of,"Department of Immunology , School of Medicine"
DWI MRI evaluation,has,has reported as useful tool for malignant tumors from benign lesions
medical monitor,provide,medical review of pre-specified events
final definitive diagnosis,was,made by resection in patients
Department of Medical Imaging,is,Sun Yat - sen University Cancer Center
biomarkers,predict pCR after,SABR treatment with study on explanted tumour as gold standard
HRM MAF titration,was,conducted by MAF in mixed DNA sample in DNA concentration assay from 0.25 ng
Department of Medical Oncology,of Department is,Australia School of Cancer Medicine
Clinical data,were collected through,record management system of Binzhou Medical University Hospital
Institute of Chinese Materia Medica,of Institute is,Lunan Pharmaceutical Group Co. Ltd.
Chinese medicine,is,In China mainly used clinically in combination
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted with engineered Fc region for stabilization
Bioinformatic analysis,reveals,pattern of associated gene expression specific to like breast cancers
